datetime,log_type,item,amount,change_detail,balance_before,balance_after,inventory_after,item_stock_after
2025-01-01 09:00:00,purchase,Tea,-120,"{""500"": 1, ""100"": 3, ""50"": 1, ""10"": 3}",0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 51, ""500"": 49, ""100"": 47, ""50"": 49, ""10"": 47, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 4, ""Coffee"": 5, ""Cider"": 5, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 5, ""Monster"": 5}"
2025-01-01 12:10:00,deposit,-,100,{},0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 51, ""500"": 49, ""100"": 48, ""50"": 49, ""10"": 47, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 4, ""Coffee"": 5, ""Cider"": 5, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 5, ""Monster"": 5}"
2025-01-01 13:09:00,purchase,Tea,-120,"{""500"": 1, ""100"": 3, ""50"": 1, ""10"": 3}",0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 52, ""500"": 48, ""100"": 45, ""50"": 48, ""10"": 44, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 3, ""Coffee"": 5, ""Cider"": 5, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 5, ""Monster"": 5}"
2025-01-01 16:16:00,purchase,Monster,-200,"{""500"": 1, ""100"": 3}",0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 53, ""500"": 47, ""100"": 42, ""50"": 48, ""10"": 44, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 3, ""Coffee"": 5, ""Cider"": 5, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 5, ""Monster"": 4}"
2025-01-01 18:45:00,purchase,Cocoa,-180,"{""500"": 1, ""100"": 3, ""10"": 2}",0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 54, ""500"": 46, ""100"": 39, ""50"": 48, ""10"": 42, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 3, ""Coffee"": 5, ""Cider"": 5, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 4, ""Monster"": 4}"
2025-01-01 22:01:00,deposit,-,100,{},0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 54, ""500"": 46, ""100"": 40, ""50"": 48, ""10"": 42, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 3, ""Coffee"": 5, ""Cider"": 5, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 4, ""Monster"": 4}"
2025-01-02 01:19:00,purchase,Cider,-140,"{""500"": 1, ""100"": 3, ""50"": 1, ""10"": 1}",0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 55, ""500"": 45, ""100"": 37, ""50"": 47, ""10"": 41, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 3, ""Coffee"": 5, ""Cider"": 4, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 4, ""Monster"": 4}"
2025-01-02 04:17:00,deposit,-,1000,{},0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 56, ""500"": 45, ""100"": 37, ""50"": 47, ""10"": 41, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 3, ""Coffee"": 5, ""Cider"": 4, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 4, ""Monster"": 4}"
2025-01-02 05:46:00,purchase,Coffee,-130,"{""500"": 1, ""100"": 3, ""50"": 1, ""10"": 2}",0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 57, ""500"": 44, ""100"": 34, ""50"": 46, ""10"": 39, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 3, ""Coffee"": 4, ""Cider"": 4, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 4, ""Monster"": 4}"
2025-01-02 06:25:00,purchase,Coffee,-130,"{""500"": 1, ""100"": 3, ""50"": 1, ""10"": 2}",0,0,"{""10000"": 50, ""5000"": 50, ""1000"": 58, ""500"": 43, ""100"": 31, ""50"": 45, ""10"": 37, ""5"": 50, ""1"": 50}","{""Water"": 5, ""Tea"": 3, ""Coffee"": 3, ""Cider"": 4, ""Cola"": 5, ""Orange"": 5, ""Cocoa"": 4, ""Monster"": 4}"
